indicator,country,iso,year,value,sub_value
net_policy_stance,Angola,AGO,2020,2,
net_policy_stance,Albania,ALB,2020,1,
net_policy_stance,United Arab Emirates,ARE,2021,-2,
net_policy_stance,United Arab Emirates,ARE,2023,-2,
net_policy_stance,United Arab Emirates,ARE,2024,-1,
net_policy_stance,United Arab Emirates,ARE,2025,-1,
net_policy_stance,United Arab Emirates,ARE,2026,-10,
net_policy_stance,Argentina,ARG,2020,2,
net_policy_stance,Argentina,ARG,2021,-1,
net_policy_stance,Argentina,ARG,2022,-5,
net_policy_stance,Argentina,ARG,2023,-8,
net_policy_stance,Argentina,ARG,2024,6,
net_policy_stance,Argentina,ARG,2025,26,
net_policy_stance,Argentina,ARG,2026,11,
net_policy_stance,Armenia,ARM,2020,1,
net_policy_stance,Armenia,ARM,2021,0,
net_policy_stance,Armenia,ARM,2022,1,
net_policy_stance,Armenia,ARM,2024,1,
net_policy_stance,Armenia,ARM,2025,0,
net_policy_stance,Armenia,ARM,2026,1,
net_policy_stance,Antigua & Barbuda,ATG,2020,2,
net_policy_stance,Australia,AUS,2020,48,
net_policy_stance,Australia,AUS,2021,62,
net_policy_stance,Australia,AUS,2022,30,
net_policy_stance,Australia,AUS,2023,79,
net_policy_stance,Australia,AUS,2024,57,
net_policy_stance,Australia,AUS,2025,94,
net_policy_stance,Australia,AUS,2026,44,
net_policy_stance,Austria,AUT,2020,-1,
net_policy_stance,Austria,AUT,2021,0,
net_policy_stance,Austria,AUT,2022,-21,
net_policy_stance,Austria,AUT,2023,-37,
net_policy_stance,Austria,AUT,2024,-27,
net_policy_stance,Austria,AUT,2025,-64,
net_policy_stance,Austria,AUT,2026,-24,
net_policy_stance,Azerbaijan,AZE,2020,-1,
net_policy_stance,Burundi,BDI,2022,-2,
net_policy_stance,Belgium,BEL,2020,-2,
net_policy_stance,Belgium,BEL,2021,-3,
net_policy_stance,Belgium,BEL,2022,-23,
net_policy_stance,Belgium,BEL,2023,-34,
net_policy_stance,Belgium,BEL,2024,-28,
net_policy_stance,Belgium,BEL,2025,-65,
net_policy_stance,Belgium,BEL,2026,-23,
net_policy_stance,Benin,BEN,2021,2,
net_policy_stance,Bangladesh,BGD,2020,1,
net_policy_stance,Bangladesh,BGD,2022,-2,
net_policy_stance,Bangladesh,BGD,2023,0,
net_policy_stance,Bangladesh,BGD,2024,3,
net_policy_stance,Bangladesh,BGD,2025,10,
net_policy_stance,Bangladesh,BGD,2026,-2,
net_policy_stance,Bulgaria,BGR,2020,-1,
net_policy_stance,Bulgaria,BGR,2021,3,
net_policy_stance,Bulgaria,BGR,2022,-23,
net_policy_stance,Bulgaria,BGR,2023,-31,
net_policy_stance,Bulgaria,BGR,2024,-28,
net_policy_stance,Bulgaria,BGR,2025,-62,
net_policy_stance,Bulgaria,BGR,2026,-23,
net_policy_stance,Bahrain,BHR,2020,-2,
net_policy_stance,Bahrain,BHR,2021,-2,
net_policy_stance,Bahrain,BHR,2023,-1,
net_policy_stance,Bahrain,BHR,2024,-1,
net_policy_stance,Belarus,BLR,2020,2,
net_policy_stance,Belarus,BLR,2021,0,
net_policy_stance,Belarus,BLR,2022,-1,
net_policy_stance,Belarus,BLR,2024,0,
net_policy_stance,Belarus,BLR,2025,0,
net_policy_stance,Belarus,BLR,2026,1,
net_policy_stance,Belize,BLZ,2020,1,
net_policy_stance,Bolivia,BOL,2020,2,
net_policy_stance,Bolivia,BOL,2024,1,
net_policy_stance,Brazil,BRA,2020,26,
net_policy_stance,Brazil,BRA,2021,20,
net_policy_stance,Brazil,BRA,2022,14,
net_policy_stance,Brazil,BRA,2023,-11,
net_policy_stance,Brazil,BRA,2024,-37,
net_policy_stance,Brazil,BRA,2025,-17,
net_policy_stance,Brazil,BRA,2026,-9,
net_policy_stance,Bhutan,BTN,2022,-1,
net_policy_stance,Botswana,BWA,2020,-3,
net_policy_stance,Botswana,BWA,2021,-1,
net_policy_stance,Botswana,BWA,2024,1,
net_policy_stance,Botswana,BWA,2026,-1,
net_policy_stance,Canada,CAN,2020,-12,
net_policy_stance,Canada,CAN,2021,-29,
net_policy_stance,Canada,CAN,2022,-63,
net_policy_stance,Canada,CAN,2023,-56,
net_policy_stance,Canada,CAN,2024,-11,
net_policy_stance,Canada,CAN,2025,-22,
net_policy_stance,Canada,CAN,2026,-9,
net_policy_stance,Switzerland,CHE,2020,-1,
net_policy_stance,Switzerland,CHE,2022,-14,
net_policy_stance,Switzerland,CHE,2023,-16,
net_policy_stance,Switzerland,CHE,2024,-5,
net_policy_stance,Switzerland,CHE,2025,-11,
net_policy_stance,Switzerland,CHE,2026,-3,
net_policy_stance,China,CHN,2020,-315,
net_policy_stance,China,CHN,2021,-185,
net_policy_stance,China,CHN,2022,-179,
net_policy_stance,China,CHN,2023,-171,
net_policy_stance,China,CHN,2024,-163,
net_policy_stance,China,CHN,2025,-118,
net_policy_stance,China,CHN,2026,-33,
net_policy_stance,DR Congo,COD,2020,1,
net_policy_stance,Congo,COG,2022,-2,
net_policy_stance,Colombia,COL,2020,5,
net_policy_stance,Colombia,COL,2021,0,
net_policy_stance,Colombia,COL,2022,2,
net_policy_stance,Colombia,COL,2023,1,
net_policy_stance,Cyprus,CYP,2020,-3,
net_policy_stance,Cyprus,CYP,2021,1,
net_policy_stance,Cyprus,CYP,2022,-21,
net_policy_stance,Cyprus,CYP,2023,-31,
net_policy_stance,Cyprus,CYP,2024,-25,
net_policy_stance,Cyprus,CYP,2025,-62,
net_policy_stance,Cyprus,CYP,2026,-22,
net_policy_stance,Czechia,CZE,2020,-2,
net_policy_stance,Czechia,CZE,2021,2,
net_policy_stance,Czechia,CZE,2022,-24,
net_policy_stance,Czechia,CZE,2023,-35,
net_policy_stance,Czechia,CZE,2024,-27,
net_policy_stance,Czechia,CZE,2025,-65,
net_policy_stance,Czechia,CZE,2026,-22,
net_policy_stance,Germany,DEU,2020,-8,
net_policy_stance,Germany,DEU,2021,-11,
net_policy_stance,Germany,DEU,2022,-33,
net_policy_stance,Germany,DEU,2023,-57,
net_policy_stance,Germany,DEU,2024,-49,
net_policy_stance,Germany,DEU,2025,-83,
net_policy_stance,Germany,DEU,2026,-36,
net_policy_stance,Denmark,DNK,2020,-3,
net_policy_stance,Denmark,DNK,2021,0,
net_policy_stance,Denmark,DNK,2022,-26,
net_policy_stance,Denmark,DNK,2023,-35,
net_policy_stance,Denmark,DNK,2024,-28,
net_policy_stance,Denmark,DNK,2025,-64,
net_policy_stance,Denmark,DNK,2026,-24,
net_policy_stance,Algeria,DZA,2021,3,
net_policy_stance,Algeria,DZA,2022,0,
net_policy_stance,Algeria,DZA,2023,1,
net_policy_stance,Ecuador,ECU,2020,-1,
net_policy_stance,Ecuador,ECU,2021,2,
net_policy_stance,Ecuador,ECU,2023,1,
net_policy_stance,Ecuador,ECU,2025,-3,
net_policy_stance,Egypt,EGY,2020,-2,
net_policy_stance,Egypt,EGY,2021,-1,
net_policy_stance,Egypt,EGY,2022,0,
net_policy_stance,Egypt,EGY,2023,-1,
net_policy_stance,Egypt,EGY,2024,2,
net_policy_stance,Spain,ESP,2020,-3,
net_policy_stance,Spain,ESP,2021,-11,
net_policy_stance,Spain,ESP,2022,-27,
net_policy_stance,Spain,ESP,2023,-44,
net_policy_stance,Spain,ESP,2024,-29,
net_policy_stance,Spain,ESP,2025,-71,
net_policy_stance,Spain,ESP,2026,-27,
net_policy_stance,Estonia,EST,2020,-1,
net_policy_stance,Estonia,EST,2021,3,
net_policy_stance,Estonia,EST,2022,-23,
net_policy_stance,Estonia,EST,2023,-32,
net_policy_stance,Estonia,EST,2024,-27,
net_policy_stance,Estonia,EST,2025,-64,
net_policy_stance,Estonia,EST,2026,-23,
net_policy_stance,Ethiopia,ETH,2022,2,
net_policy_stance,Finland,FIN,2020,-2,
net_policy_stance,Finland,FIN,2021,0,
net_policy_stance,Finland,FIN,2022,-23,
net_policy_stance,Finland,FIN,2023,-33,
net_policy_stance,Finland,FIN,2024,-29,
net_policy_stance,Finland,FIN,2025,-63,
net_policy_stance,Finland,FIN,2026,-23,
net_policy_stance,Fiji,FJI,2020,2,
net_policy_stance,Fiji,FJI,2022,1,
net_policy_stance,France,FRA,2020,-15,
net_policy_stance,France,FRA,2021,-9,
net_policy_stance,France,FRA,2022,-34,
net_policy_stance,France,FRA,2023,-44,
net_policy_stance,France,FRA,2024,-35,
net_policy_stance,France,FRA,2025,-78,
net_policy_stance,France,FRA,2026,-26,
net_policy_stance,United Kingdom,GBR,2020,-10,
net_policy_stance,United Kingdom,GBR,2021,-10,
net_policy_stance,United Kingdom,GBR,2022,-23,
net_policy_stance,United Kingdom,GBR,2023,-35,
net_policy_stance,United Kingdom,GBR,2024,-18,
net_policy_stance,United Kingdom,GBR,2025,-35,
net_policy_stance,United Kingdom,GBR,2026,-12,
net_policy_stance,Georgia,GEO,2020,1,
net_policy_stance,Ghana,GHA,2020,-2,
net_policy_stance,Ghana,GHA,2022,-1,
net_policy_stance,Greece,GRC,2020,-1,
net_policy_stance,Greece,GRC,2021,-2,
net_policy_stance,Greece,GRC,2022,-22,
net_policy_stance,Greece,GRC,2023,-35,
net_policy_stance,Greece,GRC,2024,-27,
net_policy_stance,Greece,GRC,2025,-65,
net_policy_stance,Greece,GRC,2026,-24,
net_policy_stance,Guatemala,GTM,2022,1,
net_policy_stance,Guatemala,GTM,2025,-1,
net_policy_stance,Hong Kong,HKG,2025,-1,
net_policy_stance,Hong Kong,HKG,2026,-1,
net_policy_stance,Croatia,HRV,2020,-1,
net_policy_stance,Croatia,HRV,2021,-1,
net_policy_stance,Croatia,HRV,2022,-22,
net_policy_stance,Croatia,HRV,2023,-33,
net_policy_stance,Croatia,HRV,2024,-26,
net_policy_stance,Croatia,HRV,2025,-62,
